"YEAR","Model_SE_LE","Transm","Engine","TYPE_A","Cond","Color","Auction","Price","Odometer","Model_SE","AutoTrans","AGE","Cyl6","CondBelow","CondAbove","AucType","BLACK","WHITE","RED","BLUE","SILVER","BEIGE","GREEN","GOLD","California","SEATTLE","DALLAS","ORLANDO","Pennsylvan","OHIO"
2010,"4D SEDAN LE","A",4,"Open","Below","WHITE","ATLANTA",6770,179750,0,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,"4D SEDAN LE","A",4,"Open","Below","GRAY","OHIO",11600,51580,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,"4D SEDAN LE","A",4,"Open","Above","GRAY","ORLANDO",10990,65450,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012,"4D SEDAN LE","A",6,"Open","Avg","BLACK","NorthCarol",16985,35671,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"4D SEDAN LE","A",4,"Closed","Below","BLUE","NASHVILL",5315,86780,0,1,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"4D SEDAN SE","A",6,"Closed","Above","WHITE","MILWAUKE",14680,45560,1,1,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,"4D SEDAN SE","A",4,"Open","Below","GREEN","DALLAS",16650,3970,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2012,"4D SEDAN SE","A",6,"Open","Above","BLACK","MILWAUKE",18405,29870,1,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"4D SEDAN LE","A",4,"Open","Avg","BLACK","ORLANDO",8575,69620,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2014,"4D SEDAN LE","A",4,"Open","Avg","GRAY","DENVER",13300,27050,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"4D SEDAN SE","A",4,"Open","Avg","SILVER","California",11395,99310,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2010,"4D SEDAN LE","A",4,"Open","Above","BLACK","KansasCity",10995,48040,0,1,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"4D SEDAN LE","M",6,"Open","Avg","SILVER","OHIO",15550,34774,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2010,"4D SEDAN SE","A",6,"Closed","Avg","RED","DENVER",13520,56160,1,1,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014,"4D SEDAN SE","A",4,"Open","Avg","WHITE","DALLAS",13200,33690,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2011,"4D SEDAN LE","A",4,"Open","Avg","BLUE","NASHVILL",9200,86810,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,"4D SEDAN SE","A",4,"Closed","Below","GRAY","ORLANDO",16230,13796,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013,"4D SEDAN SE","A",4,"Closed","Avg","RED","DENVER",13730,49140,1,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015,"4D SEDAN LE","A",4,"Closed","Avg","SILVER","ORLANDO",16330,10518,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2012,"4D SEDAN SE","A",6,"Open","Avg","BLACK","MILWAUKE",16035,28023,1,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"4D SEDAN LE","A",4,"Closed","Avg","GREEN","DALLAS",13430,31230,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2014,"4D SEDAN SE","A",4,"Open","Avg","WHITE","ORLANDO",12950,23637,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011,"4D SEDAN SE","A",6,"Open","Avg","WHITE","DALLAS",8300,111027,1,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2012,"4D SEDAN LE","A",4,"Open","Avg","RED","ORLANDO",13550,38900,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2012,"4D SEDAN LE","A",6,"Open","Avg","BLACK","ORLANDO",15985,29913,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2014,"4D SEDAN LE","A",4,"Open","Above","WHITE","DENVER",15350,33236,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,"4D SEDAN LE","A",4,"Open","Avg","SILVER","California",13675,50700,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2012,"4D SEDAN SE","M",6,"Open","Below","GRAY","SEATTLE",13580,71308,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
